participantID,question,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender
P066,WF-001-NR-N_4,1.0,WF,001,NR,N,4,Female
P064,WF-001-NR-N_4,5.0,WF,001,NR,N,4,Female
P056,WF-001-NR-N_4,3.0,WF,001,NR,N,4,Female
P037,WF-001-NR-N_4,2.0,WF,001,NR,N,4,Female
P018,WF-001-NR-N_4,4.0,WF,001,NR,N,4,Female
P013,WF-001-NR-N_4,3.0,WF,001,NR,N,4,Female
P049,WF-001-NR-N_4,1.0,WF,001,NR,N,4,Female
P031,WF-001-NR-N_4,3.0,WF,001,NR,N,4,Female
P045,WF-001-NR-N_4,4.0,WF,001,NR,N,4,Female
P006,WF-001-NR-N_4,3.0,WF,001,NR,N,4,Female
P003,WF-001-NR-N_4,4.0,WF,001,NR,N,4,Female
P022,WF-001-NR-N_4,1.0,WF,001,NR,N,4,Female
P066,WF-001-NR-HC_1,5.0,WF,001,NR,HC,1,Female
P064,WF-001-NR-HC_1,3.0,WF,001,NR,HC,1,Female
P056,WF-001-NR-HC_1,5.0,WF,001,NR,HC,1,Female
P037,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P018,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P013,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P049,WF-001-NR-HC_1,5.0,WF,001,NR,HC,1,Female
P031,WF-001-NR-HC_1,5.0,WF,001,NR,HC,1,Female
P045,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P006,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P003,WF-001-NR-HC_1,5.0,WF,001,NR,HC,1,Female
P022,WF-001-NR-HC_1,4.0,WF,001,NR,HC,1,Female
P066,WF-001-NR-A_4,2.0,WF,001,NR,A,4,Female
P064,WF-001-NR-A_4,3.0,WF,001,NR,A,4,Female
P056,WF-001-NR-A_4,1.0,WF,001,NR,A,4,Female
P037,WF-001-NR-A_4,3.0,WF,001,NR,A,4,Female
P018,WF-001-NR-A_4,2.0,WF,001,NR,A,4,Female
P013,WF-001-NR-A_4,4.0,WF,001,NR,A,4,Female
P049,WF-001-NR-A_4,5.0,WF,001,NR,A,4,Female
P031,WF-001-NR-A_4,4.0,WF,001,NR,A,4,Female
P045,WF-001-NR-A_4,3.0,WF,001,NR,A,4,Female
P006,WF-001-NR-A_4,3.0,WF,001,NR,A,4,Female
P003,WF-001-NR-A_4,4.0,WF,001,NR,A,4,Female
P022,WF-001-NR-A_4,5.0,WF,001,NR,A,4,Female
P066,WF-001-NR-F_6,2.0,WF,001,NR,F,6,Female
P064,WF-001-NR-F_6,2.0,WF,001,NR,F,6,Female
P056,WF-001-NR-F_6,4.0,WF,001,NR,F,6,Female
P037,WF-001-NR-F_6,2.0,WF,001,NR,F,6,Female
P018,WF-001-NR-F_6,1.0,WF,001,NR,F,6,Female
P013,WF-001-NR-F_6,4.0,WF,001,NR,F,6,Female
P049,WF-001-NR-F_6,5.0,WF,001,NR,F,6,Female
P031,WF-001-NR-F_6,3.0,WF,001,NR,F,6,Female
P045,WF-001-NR-F_6,3.0,WF,001,NR,F,6,Female
P006,WF-001-NR-F_6,3.0,WF,001,NR,F,6,Female
P003,WF-001-NR-F_6,3.0,WF,001,NR,F,6,Female
P022,WF-001-NR-F_6,3.0,WF,001,NR,F,6,Female
P063,WF-002-NR-N_4,2.0,WF,002,NR,N,4,Female
P058,WF-002-NR-N_4,1.0,WF,002,NR,N,4,Female
P019,WF-002-NR-N_4,3.0,WF,002,NR,N,4,Female
P017,WF-002-NR-N_4,3.0,WF,002,NR,N,4,Female
P032,WF-002-NR-N_4,1.0,WF,002,NR,N,4,Female
P051,WF-002-NR-N_4,4.0,WF,002,NR,N,4,Female
P011,WF-002-NR-N_4,2.0,WF,002,NR,N,4,Female
P008,WF-002-NR-N_4,1.0,WF,002,NR,N,4,Female
P005,WF-002-NR-N_4,5.0,WF,002,NR,N,4,Female
P025,WF-002-NR-N_4,2.0,WF,002,NR,N,4,Female
P022,WF-002-NR-N_4,1.0,WF,002,NR,N,4,Female
P063,WF-002-NR-HC_1,3.0,WF,002,NR,HC,1,Female
P058,WF-002-NR-HC_1,5.0,WF,002,NR,HC,1,Female
P019,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P017,WF-002-NR-HC_1,3.0,WF,002,NR,HC,1,Female
P032,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P051,WF-002-NR-HC_1,5.0,WF,002,NR,HC,1,Female
P011,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P008,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P005,WF-002-NR-HC_1,5.0,WF,002,NR,HC,1,Female
P025,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P022,WF-002-NR-HC_1,4.0,WF,002,NR,HC,1,Female
P063,WF-002-NR-A_4,5.0,WF,002,NR,A,4,Female
P058,WF-002-NR-A_4,5.0,WF,002,NR,A,4,Female
P019,WF-002-NR-A_4,2.0,WF,002,NR,A,4,Female
P017,WF-002-NR-A_4,3.0,WF,002,NR,A,4,Female
P032,WF-002-NR-A_4,4.0,WF,002,NR,A,4,Female
P051,WF-002-NR-A_4,5.0,WF,002,NR,A,4,Female
P011,WF-002-NR-A_4,4.0,WF,002,NR,A,4,Female
P008,WF-002-NR-A_4,3.0,WF,002,NR,A,4,Female
P005,WF-002-NR-A_4,2.0,WF,002,NR,A,4,Female
P025,WF-002-NR-A_4,1.0,WF,002,NR,A,4,Female
P022,WF-002-NR-A_4,3.0,WF,002,NR,A,4,Female
P063,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P058,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P019,WF-002-NR-F_6,2.0,WF,002,NR,F,6,Female
P017,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P032,WF-002-NR-F_6,2.0,WF,002,NR,F,6,Female
P051,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P011,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P008,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P005,WF-002-NR-F_6,2.0,WF,002,NR,F,6,Female
P025,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P022,WF-002-NR-F_6,1.0,WF,002,NR,F,6,Female
P065,WF-003-NR-N_4,2.0,WF,003,NR,N,4,Female
P063,WF-003-NR-N_4,2.0,WF,003,NR,N,4,Female
p057,WF-003-NR-N_4,2.0,WF,003,NR,N,4,Female
P035,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P034,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P049,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P047,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P030,WF-003-NR-N_4,2.0,WF,003,NR,N,4,Female
P007,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P024,WF-003-NR-N_4,3.0,WF,003,NR,N,4,Female
P002,WF-003-NR-N_4,1.0,WF,003,NR,N,4,Female
P065,WF-003-NR-HC_1,4.0,WF,003,NR,HC,1,Female
P063,WF-003-NR-HC_1,3.0,WF,003,NR,HC,1,Female
p057,WF-003-NR-HC_1,4.0,WF,003,NR,HC,1,Female
P035,WF-003-NR-HC_1,1.0,WF,003,NR,HC,1,Female
P034,WF-003-NR-HC_1,3.0,WF,003,NR,HC,1,Female
P049,WF-003-NR-HC_1,5.0,WF,003,NR,HC,1,Female
P047,WF-003-NR-HC_1,5.0,WF,003,NR,HC,1,Female
P030,WF-003-NR-HC_1,5.0,WF,003,NR,HC,1,Female
P007,WF-003-NR-HC_1,5.0,WF,003,NR,HC,1,Female
P024,WF-003-NR-HC_1,5.0,WF,003,NR,HC,1,Female
P002,WF-003-NR-HC_1,2.0,WF,003,NR,HC,1,Female
P065,WF-003-NR-A_4,3.0,WF,003,NR,A,4,Female
P063,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
p057,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P035,WF-003-NR-A_4,5.0,WF,003,NR,A,4,Female
P034,WF-003-NR-A_4,2.0,WF,003,NR,A,4,Female
P049,WF-003-NR-A_4,5.0,WF,003,NR,A,4,Female
P047,WF-003-NR-A_4,3.0,WF,003,NR,A,4,Female
P030,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P007,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P024,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P002,WF-003-NR-A_4,4.0,WF,003,NR,A,4,Female
P065,WF-003-NR-F_6,2.0,WF,003,NR,F,6,Female
P063,WF-003-NR-F_6,5.0,WF,003,NR,F,6,Female
p057,WF-003-NR-F_6,2.0,WF,003,NR,F,6,Female
P035,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
P034,WF-003-NR-F_6,1.0,WF,003,NR,F,6,Female
