participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion
P066,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P064,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P056,WF-001-NR-N_1,3,WF,001,NR,N,1,Female,Happy
P037,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P018,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P013,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P049,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P031,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P045,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P006,WF-001-NR-N_1,3,WF,001,NR,N,1,Female,Happy
P003,WF-001-NR-N_1,2,WF,001,NR,N,1,Female,Happy
P022,WF-001-NR-N_1,1,WF,001,NR,N,1,Female,Happy
P066,WF-001-NR-N_2,1,WF,001,NR,N,2,Female,Sad
P064,WF-001-NR-N_2,4,WF,001,NR,N,2,Female,Sad
P056,WF-001-NR-N_2,2,WF,001,NR,N,2,Female,Sad
P037,WF-001-NR-N_2,2,WF,001,NR,N,2,Female,Sad
P018,WF-001-NR-N_2,1,WF,001,NR,N,2,Female,Sad
P013,WF-001-NR-N_2,3,WF,001,NR,N,2,Female,Sad
P049,WF-001-NR-N_2,1,WF,001,NR,N,2,Female,Sad
P031,WF-001-NR-N_2,3,WF,001,NR,N,2,Female,Sad
P045,WF-001-NR-N_2,2,WF,001,NR,N,2,Female,Sad
P006,WF-001-NR-N_2,3,WF,001,NR,N,2,Female,Sad
P003,WF-001-NR-N_2,4,WF,001,NR,N,2,Female,Sad
P022,WF-001-NR-N_2,1,WF,001,NR,N,2,Female,Sad
P066,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P064,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P056,WF-001-NR-N_3,2,WF,001,NR,N,3,Female,Surprised
P037,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P018,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P013,WF-001-NR-N_3,2,WF,001,NR,N,3,Female,Surprised
P049,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P031,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P045,WF-001-NR-N_3,2,WF,001,NR,N,3,Female,Surprised
P006,WF-001-NR-N_3,3,WF,001,NR,N,3,Female,Surprised
P003,WF-001-NR-N_3,3,WF,001,NR,N,3,Female,Surprised
P022,WF-001-NR-N_3,1,WF,001,NR,N,3,Female,Surprised
P066,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry
P064,WF-001-NR-N_4,5,WF,001,NR,N,4,Female,Angry
P056,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry
P037,WF-001-NR-N_4,2,WF,001,NR,N,4,Female,Angry
P018,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry
P013,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry
P049,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry
P031,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry
P045,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry
P006,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry
P003,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry
P022,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry
P066,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P064,WF-001-NR-N_5,3,WF,001,NR,N,5,Female,Disgusted
P056,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P037,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P018,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P013,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P049,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P031,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P045,WF-001-NR-N_5,3,WF,001,NR,N,5,Female,Disgusted
P006,WF-001-NR-N_5,3,WF,001,NR,N,5,Female,Disgusted
P003,WF-001-NR-N_5,4,WF,001,NR,N,5,Female,Disgusted
P022,WF-001-NR-N_5,1,WF,001,NR,N,5,Female,Disgusted
P066,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P064,WF-001-NR-N_6,2,WF,001,NR,N,6,Female,Scared
P056,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P037,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P018,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P013,WF-001-NR-N_6,3,WF,001,NR,N,6,Female,Scared
P049,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P031,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P045,WF-001-NR-N_6,2,WF,001,NR,N,6,Female,Scared
P006,WF-001-NR-N_6,3,WF,001,NR,N,6,Female,Scared
P003,WF-001-NR-N_6,5,WF,001,NR,N,6,Female,Scared
P022,WF-001-NR-N_6,1,WF,001,NR,N,6,Female,Scared
P066,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy
P064,WF-001-NR-HC_1,3,WF,001,NR,HC,1,Female,Happy
P056,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy
P037,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P018,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P013,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P049,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy
P031,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy
P045,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P006,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P003,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy
P022,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy
P066,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P064,WF-001-NR-HC_2,2,WF,001,NR,HC,2,Female,Sad
P056,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P037,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P018,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P013,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P049,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P031,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P045,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P006,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P003,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P022,WF-001-NR-HC_2,1,WF,001,NR,HC,2,Female,Sad
P066,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P064,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P056,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P037,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P018,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P013,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P049,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P031,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P045,WF-001-NR-HC_3,2,WF,001,NR,HC,3,Female,Surprised
P006,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P003,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P022,WF-001-NR-HC_3,1,WF,001,NR,HC,3,Female,Surprised
P066,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P064,WF-001-NR-HC_4,2,WF,001,NR,HC,4,Female,Angry
P056,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P037,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P018,WF-001-NR-HC_4,2,WF,001,NR,HC,4,Female,Angry
P013,WF-001-NR-HC_4,2,WF,001,NR,HC,4,Female,Angry
P049,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P031,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P045,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P006,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P003,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P022,WF-001-NR-HC_4,1,WF,001,NR,HC,4,Female,Angry
P066,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P064,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P056,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P037,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P018,WF-001-NR-HC_5,3,WF,001,NR,HC,5,Female,Disgusted
P013,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P049,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P031,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P045,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P006,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P003,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P022,WF-001-NR-HC_5,1,WF,001,NR,HC,5,Female,Disgusted
P066,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P064,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P056,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P037,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P018,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P013,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P049,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P031,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P045,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P006,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P003,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P022,WF-001-NR-HC_6,1,WF,001,NR,HC,6,Female,Scared
P066,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P064,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P056,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P037,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P018,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P013,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P049,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P031,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P045,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P006,WF-001-NR-A_1,2,WF,001,NR,A,1,Female,Happy
P003,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P022,WF-001-NR-A_1,1,WF,001,NR,A,1,Female,Happy
P066,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P064,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P056,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P037,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P018,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P013,WF-001-NR-A_2,3,WF,001,NR,A,2,Female,Sad
P049,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
P031,WF-001-NR-A_2,1,WF,001,NR,A,2,Female,Sad
