participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P066,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry,4
P064,WF-001-NR-N_4,5,WF,001,NR,N,4,Female,Angry,4
P056,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry,4
P037,WF-001-NR-N_4,2,WF,001,NR,N,4,Female,Angry,4
P018,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry,4
P013,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry,4
P049,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry,4
P031,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry,4
P045,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry,4
P006,WF-001-NR-N_4,3,WF,001,NR,N,4,Female,Angry,4
P003,WF-001-NR-N_4,4,WF,001,NR,N,4,Female,Angry,4
P022,WF-001-NR-N_4,1,WF,001,NR,N,4,Female,Angry,4
P066,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy,1
P064,WF-001-NR-HC_1,3,WF,001,NR,HC,1,Female,Happy,1
P056,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy,1
P037,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P018,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P013,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P049,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy,1
P031,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy,1
P045,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P006,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P003,WF-001-NR-HC_1,5,WF,001,NR,HC,1,Female,Happy,1
P022,WF-001-NR-HC_1,4,WF,001,NR,HC,1,Female,Happy,1
P066,WF-001-NR-A_4,2,WF,001,NR,A,4,Female,Angry,4
P064,WF-001-NR-A_4,3,WF,001,NR,A,4,Female,Angry,4
P056,WF-001-NR-A_4,1,WF,001,NR,A,4,Female,Angry,4
P037,WF-001-NR-A_4,3,WF,001,NR,A,4,Female,Angry,4
P018,WF-001-NR-A_4,2,WF,001,NR,A,4,Female,Angry,4
P013,WF-001-NR-A_4,4,WF,001,NR,A,4,Female,Angry,4
P049,WF-001-NR-A_4,5,WF,001,NR,A,4,Female,Angry,4
P031,WF-001-NR-A_4,4,WF,001,NR,A,4,Female,Angry,4
P045,WF-001-NR-A_4,3,WF,001,NR,A,4,Female,Angry,4
P006,WF-001-NR-A_4,3,WF,001,NR,A,4,Female,Angry,4
P003,WF-001-NR-A_4,4,WF,001,NR,A,4,Female,Angry,4
P022,WF-001-NR-A_4,5,WF,001,NR,A,4,Female,Angry,4
P066,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared,6
P064,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared,6
P056,WF-001-NR-F_6,4,WF,001,NR,F,6,Female,Scared,6
P037,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared,6
P018,WF-001-NR-F_6,1,WF,001,NR,F,6,Female,Scared,6
P013,WF-001-NR-F_6,4,WF,001,NR,F,6,Female,Scared,6
P049,WF-001-NR-F_6,5,WF,001,NR,F,6,Female,Scared,6
P031,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared,6
P045,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared,6
P006,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared,6
P003,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared,6
P022,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared,6
P063,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry,4
P058,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry,4
P019,WF-002-NR-N_4,3,WF,002,NR,N,4,Female,Angry,4
P017,WF-002-NR-N_4,3,WF,002,NR,N,4,Female,Angry,4
P032,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry,4
P051,WF-002-NR-N_4,4,WF,002,NR,N,4,Female,Angry,4
P011,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry,4
P008,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry,4
P005,WF-002-NR-N_4,5,WF,002,NR,N,4,Female,Angry,4
P025,WF-002-NR-N_4,2,WF,002,NR,N,4,Female,Angry,4
P022,WF-002-NR-N_4,1,WF,002,NR,N,4,Female,Angry,4
P063,WF-002-NR-HC_1,3,WF,002,NR,HC,1,Female,Happy,1
P058,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy,1
P019,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P017,WF-002-NR-HC_1,3,WF,002,NR,HC,1,Female,Happy,1
P032,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P051,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy,1
P011,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P008,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P005,WF-002-NR-HC_1,5,WF,002,NR,HC,1,Female,Happy,1
P025,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P022,WF-002-NR-HC_1,4,WF,002,NR,HC,1,Female,Happy,1
P063,WF-002-NR-A_4,5,WF,002,NR,A,4,Female,Angry,4
P058,WF-002-NR-A_4,5,WF,002,NR,A,4,Female,Angry,4
P019,WF-002-NR-A_4,2,WF,002,NR,A,4,Female,Angry,4
P017,WF-002-NR-A_4,3,WF,002,NR,A,4,Female,Angry,4
P032,WF-002-NR-A_4,4,WF,002,NR,A,4,Female,Angry,4
P051,WF-002-NR-A_4,5,WF,002,NR,A,4,Female,Angry,4
P011,WF-002-NR-A_4,4,WF,002,NR,A,4,Female,Angry,4
P008,WF-002-NR-A_4,3,WF,002,NR,A,4,Female,Angry,4
P005,WF-002-NR-A_4,2,WF,002,NR,A,4,Female,Angry,4
P025,WF-002-NR-A_4,1,WF,002,NR,A,4,Female,Angry,4
P022,WF-002-NR-A_4,3,WF,002,NR,A,4,Female,Angry,4
P063,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P058,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P019,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P017,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P032,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P051,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P011,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P008,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P005,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P025,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
