face,rated,diff,d,p
Angry,Happy,0.028,0.082,0.5535
Angry,Sad,-0.094,-0.167,0.2286
Angry,Surprised,-0.104,-0.173,0.2131
Angry,Angry,0.085,0.132,0.3394
Angry,Disgusted,-0.368,-0.448,0.002
Angry,Scared,0.028,0.079,0.5687
Fearful,Happy,-0.028,-0.043,0.7538
Fearful,Sad,-0.057,-0.091,0.5128
Fearful,Surprised,-0.057,-0.075,0.5887
Fearful,Angry,-0.104,-0.176,0.207
Fearful,Disgusted,-0.104,-0.142,0.3052
Fearful,Scared,-0.085,-0.1,0.4692
Happy,Happy,0.066,0.123,0.3751
Happy,Sad,0.009,0.023,0.8676
Happy,Surprised,-0.019,-0.053,0.6988
Happy,Angry,0.009,0.03,0.8296
Happy,Disgusted,-0.038,-0.089,0.5216
Happy,Scared,0.0,0.0,1.0
Neutral,Happy,-0.057,-0.177,0.2038
Neutral,Sad,-0.151,-0.248,0.077
Neutral,Surprised,-0.132,-0.28,0.0467
Neutral,Angry,-0.123,-0.237,0.0907
Neutral,Disgusted,-0.047,-0.06,0.664
Neutral,Scared,-0.047,-0.096,0.4891
